,Country,Mental Health,Country Code,Total Pop,Companies,primarySE,secondarySE,tertiarySE,GDP,Young,No,Country or Area,M49 Code,Region 1,Region 2,Continent,MH size,School Enrollment,Schools,Universities
26,Chile,8.85,CHL,18952038.0,945279.0,126.32022857666,103.665161132813,93.1011276245117,14699.4627808048,0.194942728586762,46,Chile,152,South America,Latin America and the Caribbean,South America,1677.0,1.1499269485473649,7081.0,430.0
27,China,7.622,CHN,1397715000.0,1767376.0,128.474212646484,88.1734008789063,58.4201011657715,10143.8381955595,0.17804508343387598,47,China,156,Eastern Asia,,Asia,106534.0,1.0832380676269515,449284.0,18173.0
28,Colombia,1.835,COL,50339443.0,539111.0,125.213821411133,101.795761108398,56.4340286254883,6418.61578254492,0.22620784659854098,52,Colombia,170,South America,Latin America and the Caribbean,South America,924.0,1.135047912597655,21542.0,803.0
29,Comoros,1.158,COM,850886.0,78.0,117.65087890625,61.0905685424805,8.99477958679199,1404.43318720472,0.39285873783326997,53,Comoros,174,Eastern Africa,Sub-Saharan Africa,Africa,10.0,0.8937072372436525,498.0,4.0
30,Congo,0.62,COG,5380508.0,0.0,134.366760253906,71.0535507202148,12.6668796539307,2369.72944099031,0.415372488991746,54,Congo,178,Middle Africa,Sub-Saharan Africa,Africa,33.0,1.027101554870604,3826.0,35.0
31,Costa Rica,228.605,CRI,5047561.0,122529.0,116.951751708984,142.017486572266,57.6748199462891,12762.1380073688,0.21078635800538098,56,Costa Rica,188,Central America,Latin America and the Caribbean,North America,11539.0,1.29484619140625,2296.0,77.0
32,Côte d'Ivoire,0.511,CIV,25716544.0,59582.0,100.457931518555,57.465389251709,9.95259952545166,2276.3323939018,0.41714703188733304,57,Côte d’Ivoire,384,Western Africa,Sub-Saharan Africa,Africa,131.0,0.78961660385132,14118.0,133.0
33,Croatia,58.616,HRV,4067500.0,117834.0,103.345993041992,100.119430541992,67.8655624389648,15311.766903695,0.145622210859055,58,Croatia,191,Southern Europe,,Europe,2384.0,1.01732711791992,1004.0,50.0
34,Cuba,50.351,CUB,11333483.0,0.0,123.146011352539,101.309173583984,117.100807189941,9125.8786794952,0.160423499113203,59,Cuba,192,Caribbean,Latin America and the Caribbean,North America,5707.0,1.122275924682615,3401.0,266.0
35,Cyprus,34.97,CYP,1198575.0,116967.0,105.364761352539,100.850433349609,88.4853286743164,29206.076171875,0.167070896689819,61,Cyprus,196,Western Asia,,Asia,419.0,1.03107597351074,344.0,22.0
36,Czechia,46.437000000000005,CZE,10669709.0,238426.0,130.028610229492,105.089302062988,65.6711730957031,23660.1488068317,0.157229501266184,62,Czechia,203,Eastern Europe,,Europe,4955.0,1.1755895614624,3287.0,138.0
